Date,Time,Meal Type,Description
2024-08-18,12:00,Lunch,2 Keto toast with peanut butter and jam + Earl Gray tea
2024-08-18,19:10,Supper,Chinese food (authentic) - Hong Kong Cafe
2024-08-19,10:30,Breakfast,1 Egg + 1 slice of Almond bread toast
2024-08-19,19:15,Supper,Home made pho and 1/4 cheese cake (keto)
2024-08-20,11:00,Breakfast,1 Egg + 1/2 slice of Almond baguette toast
2024-08-20,19:15,Supper,"1/2 Chicken breast and arugula salad w/ cucumber, tomato, and onion"
2024-08-21,13:45,Lunch,1/2 roast beef sandwich on almond flour cheese bun + small bowl of French onion soup
2024-08-21,19:15,Supper,"Edo Japan - Beef teriyaki  and shrimp with yakisoba noodles and vegetables, 1/2 cheesecake (keto)"
2024-08-22,12:45,Lunch,Greek yogurt w/dark chocolate chips
2024-08-22,19:30,Supper,"Spicy beef kebabs with Greek Salad, 1/2 cheesecake (keto)"
2024-08-23,09:10,Breakfast,Toast with butter (keto multigrain bread) and Earl Gray tea
2024-08-23,13:15,Lunch,Chicken sandwich on pumpernickel bread w/ cheese and arugula
2024-08-23,19:00,Supper,Spaghetti  and 2 meatballs 
2024-08-24,13:15,Lunch,Soup and a roast beef sandwich on pumpernickel bread
2024-08-24,19:30,Supper,Chicken cordon bleu w/wild jasmine wild rice and steamed broccoli
2024-08-25,12:30,Lunch,"Hamburger, hotdog, corn on the cob, cake and icecream"
2024-08-26,13:30,Lunch,Soup and a roast beef sandwich on pumpernickel bread
2024-08-26,19:00,Supper,Chicken Alfredo pasta + 1/4 ice cream sandwich (keto)
2024-08-27,10:00,Breakfast,Pumpernickel toast with an egg
2024-08-27,19:30,Supper,Salmon fillet with wheat berry salad w/ peas + radishes + 1/2 keto ice cream sandwich 
2024-08-28,09:15,Breakfast,Peanut butter and jam on pumpernickel toast
2024-08-28,13:15,Lunch,1/2 Tuna sandwich on pumpernickel bread
2024-08-28,19:00,Supper,"Roast beef, with carrots and potatoes w jasmine wild rice"
